Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
A4,0.19,702,135,0,641,949,246.402,0,7,83.5
A4,0.19,702,135,0,641,949,246.402,0,28,96.8
A4,0.19,702,135,0,641,949,246.402,0,90,114.5
A5,0.19,512,133,173,620,932,177.664,0,3,66.8
A5,0.19,512,133,173,620,932,177.664,0,7,74.2
A5,0.19,512,133,173,620,932,177.664,0,28,102.3
A5,0.19,512,133,173,620,932,177.664,0,90,123.6
A6,0.19,372,130,305,608,927,125.736,0,3,41.7
A6,0.19,372,130,305,608,927,125.736,0,7,56.4
A6,0.19,372,130,305,608,927,125.736,0,28,88.5
A6,0.19,372,130,305,608,927,125.736,0,90,109.2
G0F0,0.37,546.79,202.31,0,845.26,796.54,7.381,0,7,38
G0F0,0.37,546.79,202.31,0,845.26,796.54,7.381,0,28,52
G0F0,0.37,546.79,202.31,0,845.26,796.54,7.381,0,56,56
G20F0,0.37,546.79,202.31,0,676.21,796.54,6.288,0,7,41
G20F0,0.37,546.79,202.31,0,676.21,796.54,6.288,0,28,55
G20F0,0.37,546.79,202.31,0,676.21,796.54,6.288,0,56,59
G40F0,0.37,546.79,202.31,0,507.16,796.54,7.381,0,7,36
G40F0,0.37,546.79,202.31,0,507.16,796.54,7.381,0,28,51
G40F0,0.37,546.79,202.31,0,507.16,796.54,7.381,0,56,57
G60F0,0.37,546.79,202.31,0,338.1,796.54,9.842,0,7,33
G60F0,0.37,546.79,202.31,0,338.1,796.54,9.842,0,28,47
